video_path,drill_id,submitted_drill_entry_id,error_response
input_data/OneDrive_1_08-03-2024/fdcaa2aa-d158-45e8-8f24-202dd75afd8a.mp4,2057,115431,
input_data/OneDrive_1_08-03-2024/a7352612-5064-4418-9990-94afe95b51ee.mp4,2060,115432,
input_data/OneDrive_1_08-03-2024/f47cc268-7e5f-418a-86f8-d464047d2e94.mp4,2064,115433,
input_data/OneDrive_1_08-03-2024/b9600419-e9dd-4cb3-894f-a66e448016b6.mp4,2061,115434,
input_data/OneDrive_1_08-03-2024/c2e4afc8-939b-41dc-899b-0252b8c3308a.mp4,2063,115435,
input_data/OneDrive_1_08-03-2024/37b10c82-5752-4743-a890-e73fbc976af1.mp4,2062,115436,
input_data/OneDrive_1_08-03-2024/213c5aaa-1d8a-41fe-ad53-4eb85646626e.mp4,2057,115437,
input_data/OneDrive_1_08-03-2024/e38068d0-7a3f-4d12-a4a4-609171f64938.mp4,2060,115438,
input_data/OneDrive_1_08-03-2024/cc7497c9-e58a-4c5b-bcbe-4b6d10435fda.mp4,2064,115439,
input_data/OneDrive_1_08-03-2024/f559a089-e101-4da7-9ece-9c10929db484.mp4,2061,115440,
input_data/OneDrive_1_08-03-2024/532448ed-bfb6-43b5-80ec-a1e0afadf5b3.mp4,2063,115441,
input_data/OneDrive_1_08-03-2024/150a63c9-fa34-4628-a1d6-f66b311d65e3.mp4,2062,115442,
input_data/OneDrive_1_08-03-2024/73259bce-7f62-4c61-bdce-c6b52e3b3c1b.mp4,2060,115443,
input_data/OneDrive_1_08-03-2024/ce110a51-3d12-4e06-a0da-7a636f8f5461.mp4,2064,115444,
input_data/OneDrive_1_08-03-2024/3cc0d049-939d-4749-8837-47de088aba57.mp4,2061,115445,
input_data/OneDrive_1_08-03-2024/7724ffc6-eba6-4184-9dac-04714ab63a1d.mp4,2063,115446,
input_data/OneDrive_1_08-03-2024/c2a34c0b-e66e-4be8-ba9f-49f4c81373e7.mp4,2062,115447,
input_data/OneDrive_1_08-03-2024/76c725cb-b45d-48bd-88a7-04118f37643f.mp4,2057,115448,
input_data/OneDrive_1_08-03-2024/e5ee52f4-a515-4e4c-a131-bf037bff33c8.mp4,2057,115449,
input_data/OneDrive_1_08-03-2024/36859e4d-e4af-4de6-a0fd-5a4f6fe2afcc.mp4,2060,115450,
input_data/OneDrive_1_08-03-2024/e19561ce-c0e6-49b9-9c75-388126b2ac76.mp4,2064,115451,
input_data/OneDrive_1_08-03-2024/067d472d-e8cb-4968-8b46-d6b18956129b.mp4,2061,115452,
input_data/OneDrive_1_08-03-2024/545c24c0-638e-4a1c-92f3-90a8f09f1d0f.mp4,2063,115453,
input_data/OneDrive_1_08-03-2024/274cf885-f6ba-4698-bc58-8ddd2bc51ca8.mp4,2062,115454,
